case_pair,feed,slot,row,col,orbit_class,multiplicity,radius,periphery,diagonal_slot,p_orig,p_tp_detransposed,d
G3_G4,125,58,6,6,interior,4,8.48528137423857,True,True,0.4316999912261963,0.4318000078201294,-0.00010001659393310547
G3_G4,125,59,7,0,vertical_axis,2,7.0,False,False,0.8629000186920166,0.8567000031471252,0.006200015544891357
G3_G4,125,60,7,1,interior,4,7.0710678118654755,False,False,0.6913999915122986,0.6898000240325928,0.0015999674797058105
G3_G4,125,61,7,2,interior,4,7.280109889280518,False,False,0.8072999715805054,0.8065999746322632,0.0006999969482421875
G3_G4,125,62,7,3,interior,4,7.615773105863909,False,False,0.6409000158309937,0.6407999992370605,0.00010001659393310547
G3_G4,125,63,7,4,interior,4,8.06225774829855,True,False,0.5248000025749207,0.5248000025749207,0.0
G3_G4,125,64,7,5,interior,4,8.602325267042627,True,False,0.27219998836517334,0.2720000147819519,0.00019997358322143555
G3_G4,125,65,8,0,vertical_axis,2,8.0,True,False,0.42399999499320984,0.41990000009536743,0.004099994897842407
G3_G4,125,66,8,1,interior,4,8.06225774829855,True,False,0.4560999870300293,0.45210000872612,0.003999978303909302
G3_G4,125,67,8,2,interior,4,8.246211251235321,True,False,0.43639999628067017,0.43529999256134033,0.001100003719329834
G3_G4,125,68,8,3,interior,4,8.54400374531753,True,False,0.3043999969959259,0.3041999936103821,0.00020000338554382324
J1_J2,125,0,0,0,center,1,0.0,False,True,1.2411999702453613,1.2488000392913818,-0.007600069046020508
J1_J2,125,1,0,1,horizontal_axis,2,1.0,False,False,1.1648000478744507,1.1676000356674194,-0.00279998779296875
J1_J2,125,2,0,2,horizontal_axis,2,2.0,False,False,1.327299952507019,1.3270000219345093,0.0002999305725097656
J1_J2,125,3,0,3,horizontal_axis,2,3.0,False,False,1.25409996509552,1.2539000511169434,0.00019991397857666016
J1_J2,125,4,0,4,horizontal_axis,2,4.0,False,False,1.2503000497817993,1.2502000331878662,0.00010001659393310547
J1_J2,125,5,0,5,horizontal_axis,2,5.0,False,False,1.2453999519348145,1.2445000410079956,0.0008999109268188477
J1_J2,125,6,0,6,horizontal_axis,2,6.0,False,False,1.2806999683380127,1.2800999879837036,0.000599980354309082
J1_J2,125,7,0,7,horizontal_axis,2,7.0,False,False,1.0247999429702759,1.024399995803833,0.0003999471664428711
J1_J2,125,8,0,8,horizontal_axis,2,8.0,True,False,0.5511000156402588,0.5508999824523926,0.00020003318786621094
J1_J2,125,9,1,0,vertical_axis,2,1.0,False,False,1.1648000478744507,1.1676000356674194,-0.00279998779296875
J1_J2,125,10,1,1,interior,4,1.4142135623730951,False,True,1.253000020980835,1.2541999816894531,-0.001199960708618164
J1_J2,125,11,1,2,interior,4,2.23606797749979,False,False,1.1318000555038452,1.132699966430664,-0.0008999109268188477
J1_J2,125,12,1,3,interior,4,3.1622776601683795,False,False,1.1131000518798828,1.1152000427246094,-0.0020999908447265625
J1_J2,125,13,1,4,interior,4,4.123105625617661,False,False,1.1193000078201294,1.1243000030517578,-0.004999995231628418
J1_J2,125,14,1,5,interior,4,5.0990195135927845,False,False,1.1612999439239502,1.1705000400543213,-0.009200096130371094
J1_J2,125,15,1,6,interior,4,6.082762530298219,False,False,1.274999976158142,1.2802000045776367,-0.005200028419494629
J1_J2,125,16,1,7,interior,4,7.0710678118654755,False,False,0.9297999739646912,0.9312000274658203,-0.0014000535011291504
J1_J2,125,17,1,8,interior,4,8.06225774829855,True,False,0.5084999799728394,0.5090000033378601,-0.000500023365020752
J1_J2,125,18,2,0,vertical_axis,2,2.0,False,False,1.327299952507019,1.3270000219345093,0.0002999305725097656
J1_J2,125,19,2,1,interior,4,2.23606797749979,False,False,1.25600004196167,1.2555999755859375,0.0004000663757324219
J1_J2,125,20,2,2,interior,4,2.8284271247461903,False,True,1.0973999500274658,1.0979000329971313,-0.0005000829696655273
J1_J2,125,21,2,3,interior,4,3.605551275463989,False,False,1.0880999565124512,1.0923000574111938,-0.004200100898742676
J1_J2,125,22,2,4,interior,4,4.47213595499958,False,False,1.218400001525879,1.2223999500274658,-0.003999948501586914
J1_J2,125,23,2,5,interior,4,5.385164807134504,False,False,1.309399962425232,1.3143999576568604,-0.004999995231628418
J1_J2,125,24,2,6,interior,4,6.324555320336759,False,False,1.1985000371932983,1.2022000551223755,-0.0037000179290771484
J1_J2,125,25,2,7,interior,4,7.280109889280518,False,False,0.9713000059127808,0.9732999801635742,-0.001999974250793457
J1_J2,125,26,2,8,interior,4,8.246211251235321,True,False,0.5189999938011169,0.5198000073432922,-0.000800013542175293
J1_J2,125,27,3,0,vertical_axis,2,3.0,False,False,1.25409996509552,1.2539000511169434,0.00019991397857666016
J1_J2,125,28,3,1,interior,4,3.1622776601683795,False,False,1.1516000032424927,1.1492999792099,0.0023000240325927734
J1_J2,125,29,3,2,interior,4,3.605551275463989,False,False,1.1360000371932983,1.1348999738693237,0.0011000633239746094
